name,sku,attribute_set,type,weight,model_0,working_width_inches,manufacture_part_number,item_type,main_category,alternate_category,manufacturer_name,equipment_type,power_type,portable_or_stationary,heating_type,diameter_inches,gpm,psi,water_flow_rate_gpm,max_temperature,ship_weight_lbs,maximum_rpm,pump,electrical,cc,amps,start,phase,load_capacity_lbs,engine,hp,pump_rpm,water_tank_gallons,voltage,axle,equipment_video_url,btu,burner,item_customizable,wty_type1,wty_type2,wty_type3,wty_type4,wty_type5,wty_type6,wty_type7,wty_type8,wty_type9,wty_type10,wty_type11,discount_1,discount_2,discount_3,discount_4,product_brochure_url,accessory_one_customize_item,accessory_two_customize_item,accessory_three_customize_item,accessory_four_customize_item,accessory_five_customize_item,accessory_six_customize_item,accessory_seven_customize_item,accessory_eight_customize_item,accessory_nine_customize_item,accessory_ten_customize_item,accessory_elvn_customize_item,accessory_one_item_part,accessory_two_item_part,accessory_three_item_part,accessory_four_item_part,accessory_five_item_part,accessory_six_item_part,accessory_seven_item_part,accessory_eight_item_part,accessory_nine_item_part,accessory_ten_item_part,accessory_elvn_item_part,category_ids,test,price,short_description,description,qty,status,is_in_stock,visibility,image,small_image,thumbnail,media_gallery
HD 3.8/35 P,hd_p_35_38_1,default,simple,,HD 3.8/35 P,,1.107-108.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.8,3500,,,157,,Kärcher KG,,389,,,3 ph,,Honda GX390,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgbVlWVC1sX2p2WE0&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.8/35 P,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Xpert-HD3.8-35P-01.jpg,Xpert-HD3.8-35P-01.jpg,Xpert-HD3.8-35P-01.jpg,
HD 3.5/40 P,hd_p_40_35,default,simple,,HD 3.5/40 P,,1.107-219.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.5,4000,,,157,,Kärcher KG,,389,,,1ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgbVlWVC1sX2p2WE0&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.5/40 P,2329,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Xpert-HD3.8-35P-01 (1).jpg,Xpert-HD3.8-35P-01 (1).jpg,Xpert-HD3.8-35P-01 (1).jpg,
HD 2.3/24 P,hd_p_24_23,default,simple,,HD 2.3/24 P,,1.575-100.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.3,2400,,,148,,Kärcher KS,,163,,,3ph,,Honda GX160,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgMG1MWHFTUEJfQ1k&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-026.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/24 P,1579,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Liberty HD Gas Direct-01.jpg,Liberty HD Gas Direct-01.jpg,Liberty HD Gas Direct-01.jpg,
HD 2.5/27 P,hd_p_27_25,default,simple,,HD 2.5/27 P,,1.575-101.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,155,,Kärcher KS,,196,,,3ph,,Honda GX200,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgMG1MWHFTUEJfQ1k&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-026.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 P,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Liberty HD Gas Direct-01 (1).jpg,Liberty HD Gas Direct-01 (1).jpg,Liberty HD Gas Direct-01 (1).jpg,
HD 3.0/30 P,hd_p_30_3,default,simple,,HD 3.0/30 P,,1.575-102.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3,3000,,,175,,Kärcher Axial,,270,,,3ph,,Honda GX270,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgMG1MWHFTUEJfQ1k&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-026.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 3.0/30 P,1979,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Liberty HD Gas Direct-01 (2).jpg,Liberty HD Gas Direct-01 (2).jpg,Liberty HD Gas Direct-01 (2).jpg,
HD 3.8/35 P,hd_p_35_38,default,simple,,HD 3.8/35 P,,1.575-104.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.8,3500,,,180,,Kärcher Axial,,389,,,1ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgMG1MWHFTUEJfQ1k&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-026.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 3.8/35 P,2329,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Liberty HD Gas Direct-01 (3).jpg,Liberty HD Gas Direct-01 (3).jpg,Liberty HD Gas Direct-01 (3).jpg,
HD 3.5/40 P,hd_p_40,default,simple,,HD 3.5/40 P,,1.107-223.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.5,4000,,,180,,Kärcher Axial,,389,,,3ph,,Honda GX390,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgMG1MWHFTUEJfQ1k&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-026.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 3.5/40 P,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Liberty HD Gas Direct-01 (4).jpg,Liberty HD Gas Direct-01 (4).jpg,Liberty HD Gas Direct-01 (4).jpg,
HD 2.3/26 CV,hd_cv_26,default,simple,,HD 2.3/26 CV,,1.107-077.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.3,2600,,,78,,Axial,,160,,,1ph,,Honda GCV160,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgQzM5UGZfT1BqLTg&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/26 CV,700,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,karcher_HD3.640CH_hires-01.jpg,karcher_HD3.640CH_hires-01.jpg,karcher_HD3.640CH_hires-01.jpg,
HD 2.5/30 CH,hd_ch_30,default,simple,,HD 2.5/30 CH,,1.107-078.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,3000,,,77,,Axial,,190,,,3ph,,Honda GC190,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgQzM5UGZfT1BqLTg&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/30 CH,803,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,karcher_HD3.640CH_hires-01 (1).jpg,karcher_HD3.640CH_hires-01 (1).jpg,karcher_HD3.640CH_hires-01 (1).jpg,
HD 3.6/40 CH,hd_ch_40,default,simple,,HD 3.6/40 CH,,1.107-079.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.6,4000,,,144,,Axial,,390,,,3ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgQzM5UGZfT1BqLTg&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.6/40 CH,1917,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,karcher_HD3.640CH_hires-01 (2).jpg,karcher_HD3.640CH_hires-01 (2).jpg,karcher_HD3.640CH_hires-01 (2).jpg,
HD 2.5/24 P,hd_p_24,default,simple,,HD 2.5/24 P,,1.575-105.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2400,,,148,,Axial,,160,,,3ph,,Honda GC160,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgLWd0MXpWOG5DMUk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-253.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/24 P,901,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,1.575-105.0_Classic HD Gas Direct-0504-01.jpg,1.575-105.0_Classic HD Gas Direct-0504-01.jpg,1.575-105.0_Classic HD Gas Direct-0504-01.jpg,
HD 2.6/26 P,hd_p_26,default,simple,,HD 2.6/26 P,,1.575-106.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.6,2600,,,155,,Kärcher KG,,187,,,1ph,,Honda GC190,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgLWd0MXpWOG5DMUk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-253.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.6/26 P,962,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,1.575-105.0_Classic HD Gas Direct-0504-01 (1).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (1).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (1).jpg,
HD 3.1/31 P,hd_p_31,default,simple,,HD 3.1/31 P,,1.575-107.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.1,3100,,,166,,Kärcher KD,,270,,,3ph,,Honda GX270,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgLWd0MXpWOG5DMUk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-253.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 3.1/31 P,1849,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,1.575-105.0_Classic HD Gas Direct-0504-01 (2).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (2).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (2).jpg,
HD 4.0/36 P,hd_p_36,default,simple,,HD 4.0/36 P,,1.575-108.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,4,3600,,,180,,Kärcher KS,,389,,,1 ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgLWd0MXpWOG5DMUk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-253.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 4.0/36 P,2158,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,1.575-105.0_Classic HD Gas Direct-0504-01 (3).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (3).jpg,1.575-105.0_Classic HD Gas Direct-0504-01 (3).jpg,
HD 2.5/27 P AL,hd_p_27,default,simple,,HD 2.5/27 P AL,,1.107-129.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,125,,Kärcher KS,,196,,,1 ph,,Honda GX200,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 P AL,1729,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD3.8-35P-01.jpg,HD3.8-35P-01.jpg,HD3.8-35P-01.jpg,
HD 3.0/30 P AL,hd_p_30,default,simple,,HD 3.0/30 P AL,,1.107-130.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3,3000,,,148,,Kärcher KD,,270,,,3 ph,,Honda GX270,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.0/30 P AL,2199,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD3.8-35P-01 (1).jpg,HD3.8-35P-01 (1).jpg,HD3.8-35P-01 (1).jpg,
HD 3.8/35 P AL,hd_p_35,default,simple,,HD 3.8/35 P AL,,1.107-131.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.8,3500,,,172,,Kärcher KM,,389,,,3 ph,,Honda GX390,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.8/35 P AL,2429,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD3.8-35P-01 (2).jpg,HD3.8-35P-01 (2).jpg,HD3.8-35P-01 (2).jpg,
HD 3.5/40 P AL,hd_p_al_40,default,simple,,HD 3.5/40 P AL,,1.107-227.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.5,4000,,,172,,Kärcher KG,,389,,,3 ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.5/40 P AL,1829,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD3.8-35P-01 (3).jpg,HD3.8-35P-01 (3).jpg,HD3.8-35P-01 (3).jpg,
HD 2.5/27 PB AL,hd_p_al_27,default,simple,,HD 2.5/27 PB AL,,1.107-132.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,196,,Kärcher KG,,196,,,1 ph,,Honda GX200,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"8.929-062.0, 9.802-225.0, 8.723-636.0, 4.767-041.0, 9.302-443.0, 9.302-447.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 PB AL,2321,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD 3.7_35 PB_AL-01.jpg,HD 3.7_35 PB_AL-01.jpg,HD 3.7_35 PB_AL-01.jpg,
HD 3.7/35 PB AL,hd_p_al_35,default,simple,,HD 3.7/35 PB AL,,1.107-133.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,3.7,3500,,,249,,Kärcher KD,,389,,,3 ph,,Honda GX390,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgOGZFWW1aSHN6RlU&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.7/35 PB AL,2865,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD 3.7_35 PB_AL-01 (1).jpg,HD 3.7_35 PB_AL-01 (1).jpg,HD 3.7_35 PB_AL-01 (1).jpg,
HD 2.5/27 P ST,hd_p_st_27,default,simple,,HD 2.5/27 P ST,,1.107-215.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,125,,Kärcher KM,,169,,,1 ph,,Subaru EX170,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZEJmaWcxOWg2am8&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 P ST,1799,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"HD-2.5-27-P-ST,-HD-2-1.jpg","HD-2.5-27-P-ST,-HD-2-1.jpg","HD-2.5-27-P-ST,-HD-2-1.jpg",
HD 2.5/27 P ST Plus (includes 65 gallon tank),hd_p_st_plus_27,default,simple,,HD 2.5/27 P ST Plus (includes 65 gallon tank),,1.107-216.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,125,,Kärcher KM,,169,,,3 ph,,Subaru EX170,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZEJmaWcxOWg2am8&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 P ST Plus (includes 65 gallon tank),6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,"HD-2.5-27-P-ST,-HD-2-1 (1).jpg","HD-2.5-27-P-ST,-HD-2-1 (1).jpg","HD-2.5-27-P-ST,-HD-2-1 (1).jpg","HD-2.5-27-P-ST,-HD-2-2.jpg"
HD 2.8/10 ST Ed B,hd_st_ed_b_10,default,simple,,HD 2.8/10 ST Ed B,,1.575-300.0,Equipment,"Pressure Washing Equipment
","
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Stationary Pressure Washers
","
",,2.8,1000,,,210,,Kärcher KM,,,20,,3 ph,,,2,,,120V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcUF0TFBka2IwWkk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"9.801-002.0, 9.801-011.0, 9.801-012.0, 9.801-013.0, 9.801-031.0, 9.801-033.0, 8.903-043.0, 8.903-040.0, 9.801-034.0, 8.903-617.0, 8.941-546.0, 9.801-035.0, 9.801-036.0, 8.903-521.0, 9.802-265.0, 8.903-039.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.8/10 ST Ed B,2599,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-STEaB-M-0409-sm-01.jpg,HD-STEaB-M-0409-sm-01.jpg,HD-STEaB-M-0409-sm-01.jpg,HD-STEaB-wheel-M-0409-sm-01.jpg;HD-STEaB-cart-M-0409-sm-01.jpg
HD 4.2/20 ST Ea B,hd_st_ea_b_20,default,simple,,HD 4.2/20 ST Ea B,,1.575-301.0,Equipment,"Pressure Washing Equipment
","
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Stationary Pressure Washers
","
",,4.2,2000,,,285,,Kärcher KM,,,29,,3 ph,,,6,,,230V,,https://www.youtube.com/embed/EU4W728B-3o,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcUF0TFBka2IwWkk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"9.801-002.0, 9.801-011.0, 9.801-012.0, 9.801-013.0, 9.801-031.0, 9.801-033.0, 8.903-043.0, 8.903-040.0, 9.801-034.0, 8.903-617.0, 8.941-546.0, 9.801-035.0, 9.801-036.0, 8.903-521.0, 9.802-265.0, 8.903-039.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 4.2/20 ST Ea B,3449,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-STEaB-M-0409-sm-01 (1).jpg,HD-STEaB-M-0409-sm-01 (1).jpg,HD-STEaB-M-0409-sm-01 (1).jpg,HD-STEaB-wheel-M-0409-sm-01.jpg;HD-STEaB-cart-M-0409-sm-01.jpg
HD 4.2/20 ST Eb B,hd_st_eb_b_20,default,simple,,HD 4.2/20 ST Eb B,,1.575-302.0,Equipment,"Pressure Washing Equipment
","
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Stationary Pressure Washers
","
",,4.2,2000,,,255,,Kärcher KM,,,22,,1 ph,,,6,,,230V,,https://www.youtube.com/embed/6srMMdwlQPo,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcUF0TFBka2IwWkk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"9.801-002.0, 9.801-011.0, 9.801-012.0, 9.801-013.0, 9.801-031.0, 9.801-033.0, 8.903-043.0, 8.903-040.0, 9.801-034.0, 8.903-617.0, 8.941-546.0, 9.801-035.0, 9.801-036.0, 8.903-521.0, 9.802-265.0, 8.903-039.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 4.2/20 ST Eb B,3149,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-STEaB-M-0409-sm-01 (2).jpg,HD-STEaB-M-0409-sm-01 (2).jpg,HD-STEaB-M-0409-sm-01 (2).jpg,HD-STEaB-wheel-M-0409-sm-01.jpg;HD-STEaB-cart-M-0409-sm-01.jpg
HD 4.2/20 ST Ec B,hd_st_ec_b_20,default,simple,,HD 4.2/20 ST Ec B,,1.575-303.0,Equipment,"Pressure Washing Equipment
","
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Stationary Pressure Washers
","
",,4.2,2000,,,260,,Kärcher KM,,,11,,3 ph,,,6,,,460V,,https://www.youtube.com/embed/EU4W728B-3o,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcUF0TFBka2IwWkk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"9.801-002.0, 9.801-011.0, 9.801-012.0, 9.801-013.0, 9.801-031.0, 9.801-033.0, 8.903-043.0, 8.903-040.0, 9.801-034.0, 8.903-617.0, 8.941-546.0, 9.801-035.0, 9.801-036.0, 8.903-521.0, 9.802-265.0, 8.903-039.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 4.2/20 ST Ec B,3149,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-STEaB-M-0409-sm-01 (3).jpg,HD-STEaB-M-0409-sm-01 (3).jpg,HD-STEaB-M-0409-sm-01 (3).jpg,HD-STEaB-wheel-M-0409-sm-01.jpg;HD-STEaB-cart-M-0409-sm-01.jpg
HD 3.5/30 ST Ea B,hd_st_ea_b_30,default,simple,,HD 3.5/30 ST Ea B,,1.575-306.0,Equipment,"Pressure Washing Equipment
","
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Stationary Pressure Washers
","
",,3.5,3000,,,330,,Kärcher KM,,,36,,3ph,,,7.5,,,230V,,https://www.youtube.com/embed/EU4W728B-3o,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcUF0TFBka2IwWkk&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,"9.801-002.0, 9.801-011.0, 9.801-012.0, 9.801-013.0, 9.801-031.0, 9.801-033.0, 8.903-043.0, 8.903-040.0, 9.801-034.0, 8.903-617.0, 8.941-546.0, 9.801-035.0, 9.801-036.0, 8.903-521.0, 9.802-265.0, 8.903-039.0","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.5/30 ST Ea B,4599,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-STEaB-M-0409-sm-01 (4).jpg,HD-STEaB-M-0409-sm-01 (4).jpg,HD-STEaB-M-0409-sm-01 (4).jpg,HD-STEaB-wheel-M-0409-sm-01.jpg;HD-STEaB-cart-M-0409-sm-01.jpg
