name,sku,attribute_set,type,weight,model_0,working_width_inches,manufacture_part_number,item_type,main_category,alternate_category,manufacturer_name,equipment_type,power_type,portable_or_stationary,heating_type,diameter_inches,gpm,psi,water_flow_rate_gpm,max_temperature,ship_weight_lbs,maximum_rpm,pump,electrical,cc,amps,start,phase,load_capacity_lbs,engine,hp,pump_rpm,water_tank_gallons,voltage,axle,equipment_video_url,btu,burner,item_customizable,wty_type1,wty_type2,wty_type3,wty_type4,wty_type5,wty_type6,wty_type7,wty_type8,wty_type9,wty_type10,wty_type11,discount_1,discount_2,discount_3,discount_4,product_brochure_url,accessory_one_customize_item,accessory_two_customize_item,accessory_three_customize_item,accessory_four_customize_item,accessory_five_customize_item,accessory_six_customize_item,accessory_seven_customize_item,accessory_eight_customize_item,accessory_nine_customize_item,accessory_ten_customize_item,accessory_elvn_customize_item,accessory_one_item_part,accessory_two_item_part,accessory_three_item_part,accessory_four_item_part,accessory_five_item_part,accessory_six_item_part,accessory_seven_item_part,accessory_eight_item_part,accessory_nine_item_part,accessory_ten_item_part,accessory_elvn_item_part,category_ids,test,price,short_description,description,qty,status,is_in_stock,visibility,image,small_image,thumbnail,media_gallery
HD 3.0/20 C Ea,hd_c_ea_20,default,simple,,HD 3.0/20 C Ea,,1.150-625.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.1-3.0,300-2000,,,68,,Kärcher KE,,,20,,3 ph,,,5.2,,,120V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgSldURzU0QlJ4M1U&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 3.0/20 C Ea,1632,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,11506250_dd_1-60439-CMYK-01.jpg,11506250_dd_1-60439-CMYK-01.jpg,11506250_dd_1-60439-CMYK-01.jpg,
HD 2.0/10 Ed,hd_ed_10_2,default,simple,,HD 2.0/10 Ed,,1.575-250.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,2,1000,,,140,,Kärcher KE,,,15,,3 ph,,,1.5,,,120V,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgYVpSMXJTUGlfVGs&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-027.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.0/10 Ed,1579,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD28-10Ed-M-0409-sm-01.jpg,HD28-10Ed-M-0409-sm-01.jpg,HD28-10Ed-M-0409-sm-01.jpg,
HD 1.9/15 Ed,hd_ed_15,default,simple,,HD 1.9/15 Ed,,1.575-251.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.9,1350,,,150,,Kärcher KE,,,20,,3 ph,,,2,,,120V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgYVpSMXJTUGlfVGs&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-027.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 1.9/15 Ed,1669,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD28-10Ed-M-0409-sm-01 (1).jpg,HD28-10Ed-M-0409-sm-01 (1).jpg,HD28-10Ed-M-0409-sm-01 (1).jpg,
HD 2.8/10 Ed,hd_ed_10,default,simple,,HD 2.8/10 Ed,,1.575-252.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,2.8,1000,,,150,,Kärcher Axial,,,20,,1 ph,,,2,,,120V,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgYVpSMXJTUGlfVGs&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-027.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.8/10 Ed,1659,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD28-10Ed-M-0409-sm-01 (2).jpg,HD28-10Ed-M-0409-sm-01 (2).jpg,HD28-10Ed-M-0409-sm-01 (2).jpg,
HD 3.5/20 Ea,hd_ea_20,default,simple,,HD 3.5/20 Ea,,1.575-253.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,3.5,2000,,,167,,"Kärcher Axial
(1-year warranty)",,,22,,3 ph,,,5,,,230V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgYVpSMXJTUGlfVGs&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,9.801-027.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 3.5/20 Ea,2039,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD28-10Ed-M-0409-sm-01 (3).jpg,HD28-10Ed-M-0409-sm-01 (3).jpg,HD28-10Ed-M-0409-sm-01 (3).jpg,
HD 2.0/14 Ed +,hd_ed_14,default,simple,,HD 2.0/14 Ed +,,1.107-088.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,1.8,1400,,,120,,"Comet Axial
(1-year warranty)",,,2,,1 ph,,,2,,,120V,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgZXl0cDkzV2ZXcWs&authuser=0,"General
","
","
","
","
","
","
","
","
","
",,8.920-952.0,"
","
","
","
","
","
","
","
",,,"5, 9",HD 2.0/14 Ed +,1759,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,HD-2--Main.jpg,HD-2--Main.jpg,HD-2--Main.jpg,HD-2-2.jpg
HD 2.3/14 C Ed Food,hd_c_ed_food,default,simple,,HD 2.3/14 C Ed Food,,1.150-629.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Electric Powered Pressure Washer
","Portable Pressure Washers
","
",,2.3,1400,,,68,,"Kärcher KG
(7-year warranty)",,,20,,3 ph,,,3.2,,,120V,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgcXBySVlzZE5VWmM&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/14 C Ed Food,6000,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,1150629_HD23-14C_Ed_Food-01.jpg,1150629_HD23-14C_Ed_Food-01.jpg,1150629_HD23-14C_Ed_Food-01.jpg,
HD 2.3/23 PS KAR,hd_ps_kar_23,default,simple,,HD 2.3/23 PS KAR,,1.107-104.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.3,2300,,,72,,"Kärcher KS
(7-year warranty)",,160,,,3 ph,,Honda GC160,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgbVlWVC1sX2p2WE0&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/23 PS KAR,710,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Xpert-HD2.3-23P-01.jpg,Xpert-HD2.3-23P-01.jpg,Xpert-HD2.3-23P-01.jpg,
HD 2.3/23 P COM,hd_p_com_23,default,simple,,HD 2.3/23 P COM,,1.107-103.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.3,2300,,,73,,"Kärcher KS
(7-year warranty)",,160,,,3 ph,,Honda GC160,,,,,,https://www.youtube.com/embed/6srMMdwlQPo,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgbVlWVC1sX2p2WE0&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.3/23 P COM,798,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Xpert-HD2.5-27P-01.jpg,Xpert-HD2.5-27P-01.jpg,Xpert-HD2.5-27P-01.jpg,
HD 2.5/27 P,hd_p_27_25_1,default,simple,,HD 2.5/27 P,,1.107-106.0,Equipment,"Pressure Washing Equipment
","For Your Home
",Karcher,"Cold Water Pressure Washer
","Gas Powered Pressure Washer
","Portable Pressure Washers
","
",,2.5,2700,,,99,,Kärcher KG,,196,,,1 ph,,Honda GX200,,,,,,https://www.youtube.com/embed/EU4W728B-3o,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,http://drive.google.com/uc?export=view&id=0B1jYJotztiSgbVlWVC1sX2p2WE0&authuser=0,"
","
","
","
","
","
","
","
","
","
",,"
","
","
","
","
","
","
","
","
",,,"5, 9",HD 2.5/27 P,1259,Pressure Washing Equipment,Pressure Washing Equipment,1000,1,1,4,Xpert-HD2.5-27P-01 (1).jpg,Xpert-HD2.5-27P-01 (1).jpg,Xpert-HD2.5-27P-01 (1).jpg,
